Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
4,04/01/2023,10588,5.294,2718,19,19,147,972
7,04/02/2023,4049,2.0245,2036,42,68,206,627
7,04/03/2023,11321,5.6605,2762,56,66,168,850
8,04/04/2023,5653,2.8265,2536,12,39,156,611
8,04/05/2023,4502,2.251,1623,18,80,206,758
2,04/06/2023,6704,3.352,2874,17,8,81,866
6,04/07/2023,7434,3.717,2570,51,68,86,807
2,04/08/2023,3956,1.978,1797,35,61,106,925
4,04/09/2023,6286,3.143,2159,12,24,69,798
1,04/10/2023,8570,4.285,1978,33,58,137,968
