Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
8,02/05/2023,14355,7.1775,2963,8,28,142,961
6,02/06/2023,6038,3.019,1719,14,47,131,856
1,02/07/2023,4603,2.3015,1912,28,47,96,919
2,02/08/2023,5178,2.589,2053,7,31,137,794
8,02/09/2023,9268,4.634,2143,59,60,203,962
7,02/10/2023,2698,1.349,1588,0,62,154,787
2,02/11/2023,5896,2.948,2539,51,62,151,979
6,02/12/2023,6698,3.349,2957,59,29,90,977
2,02/13/2023,10593,5.2965,2683,59,57,180,843
4,02/14/2023,13428,6.714,2360,32,16,81,798
2,02/15/2023,4837,2.4185,2657,50,69,174,600
10,02/16/2023,13243,6.6215,2910,11,61,167,674
1,02/17/2023,11226,5.613,1712,54,69,144,701
3,02/18/2023,13791,6.8955,2133,30,52,193,771
5,02/19/2023,6928,3.464,2634,33,19,233,778
1,02/20/2023,7112,3.556,2701,30,64,70,939
2,02/21/2023,6790,3.395,2857,39,0,102,893
4,02/22/2023,4918,2.459,2982,44,50,226,854
7,02/23/2023,14911,7.4555,1977,39,74,102,985
1,02/24/2023,7861,3.9305,1692,2,36,110,841
5,02/25/2023,4132,2.066,1837,44,61,182,867
9,02/26/2023,11365,5.6825,2459,45,25,241,798
9,02/27/2023,7178,3.589,1938,54,36,164,807
9,02/28/2023,11668,5.834,2103,41,86,170,707
3,03/01/2023,2422,1.211,2722,59,71,204,675
7,03/02/2023,9789,4.8945,1878,21,73,162,965
5,03/03/2023,2796,1.398,1571,44,10,245,664
8,03/04/2023,9156,4.578,1850,12,18,122,921
2,03/05/2023,14334,7.167,2732,42,19,198,950
1,03/06/2023,2204,1.102,1660,8,66,112,714
3,03/07/2023,10730,5.365,2835,15,10,115,823
2,03/08/2023,9439,4.7195,2387,8,24,129,766
5,03/09/2023,2707,1.3535,2390,22,61,225,972
8,03/10/2023,10043,5.0215,2358,30,42,223,777
1,03/11/2023,9831,4.9155,1795,49,85,209,663
5,03/12/2023,11587,5.7935,2167,30,23,245,700
5,03/13/2023,14659,7.3295,1885,2,49,123,991
8,03/14/2023,11869,5.9345,2487,10,8,125,605
6,03/15/2023,2999,1.4995,2075,52,78,205,654
5,03/16/2023,12414,6.207,2740,57,60,150,817
7,03/17/2023,7011,3.5055,2540,32,8,85,699
6,03/18/2023,2004,1.002,2848,28,66,234,601
7,03/19/2023,2151,1.0755,2973,45,54,212,883
9,03/20/2023,9289,4.6445,2425,0,35,232,854
9,03/21/2023,10506,5.253,2878,5,87,189,964
9,03/22/2023,5169,2.5845,2891,39,43,209,780
3,03/23/2023,14725,7.3625,2274,51,31,71,817
9,03/24/2023,2925,1.4625,1534,19,74,240,664
3,03/25/2023,7182,3.591,1819,59,71,167,810
5,03/26/2023,14164,7.082,2257,29,54,70,724
3,03/27/2023,13325,6.6625,2216,26,33,121,873
7,03/28/2023,13423,6.7115,1675,36,1,232,837
7,03/29/2023,10297,5.1485,2638,19,56,153,773
2,03/30/2023,8687,4.3435,2762,4,22,73,984
3,03/31/2023,9501,4.7505,2047,1,40,232,661
8,04/01/2023,12360,6.18,2232,29,61,207,638
7,04/02/2023,14650,7.325,1534,37,74,78,738
10,04/03/2023,10771,5.3855,1532,24,4,87,845
3,04/04/2023,3254,1.627,2131,35,77,109,645
10,04/05/2023,5091,2.5455,1639,44,29,215,824
3,04/06/2023,7293,3.6465,2953,52,27,96,653
7,04/07/2023,6833,3.4165,2406,35,69,155,923
3,04/08/2023,6112,3.056,2594,38,79,237,741
8,04/09/2023,7442,3.721,2372,7,52,221,842
5,04/10/2023,8191,4.0955,1638,16,3,125,729
